title,date,category,venue,venue_url,address,access_url,area,closest_station,advance_price,door_price
MOJA,2014-07-03,Noise Rock,Ruby Room,http://www.rubyroomtokyo.com,"2F Kasumi Bldg, Dogenzaka 2-25-17, Shibuya",,Shibuya,Shibuya,,
"hanji, violette moth, Yawning (gargle), Hashigonouede",2014-07-04,Mixed Genre,Koenji U-hA,http://coffeeuha.web.fc2.com/,"Ems Bldg. 4-4-12 Koenji-minami, Suginami-ku, Tokyo",http://coffeeuha.web.fc2.com/access.html,Koenji,Koenji,,1500yen＋1d (500yen)
SARA GAZAREK,2014-07-04,Jazz,Cotton Club,http://www.cottonclubjapan.co.jp,"TOKIA 2F, TOKYO Bldg, 2-7-3 Marunouchi, Chiyoda-ku",http://www.cottonclubjapan.co.jp/en/access/,Tokyo,"Tokyo, Yurakucho","￥6,500","￥6,500"
"Tokyo Gig Guide presents FARM PARTY 12: neonrocks, Radio Friends, 動く指, more",2014-07-04,New Wave,Ruby Room,http://www.rubyroomtokyo.com,"2F Kasumi Bldg, Dogenzaka 2-25-17, Shibuya",,Shibuya,Shibuya,,1000 yen + 1D
Akihito Obama Shakuhachi Solo Concert Vol.28,2014-07-04,Acoustic,Muriwui,http://www.ne.jp/asahi/cafe/muriwui/index.html,"4-1-22-3F Soshigaya, Setagaya",http://www.ne.jp/asahi/cafe/muriwui/info.html,Soshigaya-Ōkura,Odakyu Soshigaya Okura,,donation
"YOSHIMOTO Yumiko (guitar) solo improvisation ""midnight pendulum""",2014-07-05,Improvised,Kissa Sakaiki,http://sakaiki.modalbeats.com/,"Shinjuku-ku ,Daikyo-cho, 2-4 Yotsuya 3-chome, 1F",,Yotsuya Sanchome,Yotsuya-Sanchome,,"2,000yen (incls. 1drink)"
SARA GAZAREK,2014-07-05,Jazz,Cotton Club,http://www.cottonclubjapan.co.jp,"TOKIA 2F, TOKYO Bldg, 2-7-3 Marunouchi, Chiyoda-ku",http://www.cottonclubjapan.co.jp/en/access/,Tokyo,"Tokyo, Yurakucho"," ￥6,500"," ￥6,500"
"Lucy's Crown (Australia), BRUNET BULL, RED RAW, LONG TIME DEAD, STUNGUN LIPS, 3rd-repaints",2014-07-05,Rock,Mission's,http://www.live-missions.com,"4-52-1 Koenji-Minami, Suginami-ku",,Koenji,,2000,2000
"sprawl world, Yukino Katsura, yukaD, Anmi Yamada",2014-07-05,Mixed Genre,Koenji U-hA,http://coffeeuha.web.fc2.com/,"Ems Bldg. 4-4-12 Koenji-minami, Suginami-ku, Tokyo",http://coffeeuha.web.fc2.com/access.html,Koenji,Koenji,,2000yen＋1d (500yen)
Shonen Knife,2014-07-05,Alternative,O-Nest,http://www.shibuya-o.com/nest,"ON AIR WEST bldg. 6F, 2-3 Maruyama-cho, Shibuya-ku",,Shibuya,Shibuya,3000,
Musashino Juke Joint Blues Jam Session,2014-07-05,Blues,Foxhole,http://foxhole.exblog.jp/13236922/,"Takamura Bldg. BF, 1-32-11 Kichijoji-Hon-machi",,Kichijoji,,,500 yen
"IRO IRO 20: OVERSLEEP EXCUSE, ANDREW TYRONE RODGERS, EMULSION, ORANGEY, HONEYDEW",2014-07-05,Party,Golden Egg,http://g-egg.info,"#27-TOKYO-Build-B2, 1-16-10 Kabukicho, Shinjuku",http://g-egg.info/accsess.html,Shinjuku,Shinjuku,,1000 yen plus drink order
"Koganecho Happening 5 feat. Melt, Hama Yoko, comme une plume, comme la lame",2014-07-05,Mixed Genre,Shichoushitsu Sono 3,http://shicho.org/,"5-195 Chojamachi, Nakaku, Yokohama",http://shicho.org/s3access/,"Hinodecho, Yokohama",Hinodecho station on Keihin Kyuko Line.,1500+drink,2000+drink
SARA GAZAREK,2014-07-06,Jazz,Cotton Club,http://www.cottonclubjapan.co.jp,"TOKIA 2F, TOKYO Bldg, 2-7-3 Marunouchi, Chiyoda-ku",http://www.cottonclubjapan.co.jp/en/access/,Tokyo,"Tokyo, Yurakucho","￥6,500","￥6,500"
"taffy, BALLOON88, ザ・クレーター, NAISHO",2014-07-06,Indie-Rock,Heaven's Door,http://www.geocities.jp/xxxheavensdoorxxx,1-33-19 B1 Sangenjyaya,,Sangenjaya,Sangenjaya,2000,2300
"Lucy's Crown (Australia), unitvak QUORUM, ampcharwar, 6ft.down, sparky Quano",2014-07-07,Rock,Mission's,http://www.live-missions.com,"4-52-1 Koenji-Minami, Suginami-ku",,Koenji,,2000,2500
"Komadorishain, Aoi Swimming, sleepingbeauty, Naoto Ogawa, MC birukaze",2014-07-06,Mixed Genre,Koenji U-hA,http://coffeeuha.web.fc2.com/,"Ems Bldg. 4-4-12 Koenji-minami, Suginami-ku, Tokyo",http://coffeeuha.web.fc2.com/access.html,Koenji,Koenji,,1500yen＋1d (500yen)
"Qomolangma Tomato, LAGITAGIDA",2014-07-07,Alternative,O-Nest,http://www.shibuya-o.com/nest,"ON AIR WEST bldg. 6F, 2-3 Maruyama-cho, Shibuya-ku",,Shibuya,Shibuya,2300,2800
"Beatjackers, Android Beach Party, Love River Niku-Hiko, Nao Yoshino",2014-07-06,Mixed Genre,What's Up,http://uguisudani-whatsup.com,"Negishi 1-7-11, Taito-ku, Tokyo",https://goo.gl/MPh18z,Uguisudani,Uguisudani,,￥1000
PAUL BROWN,2014-07-08,Jazz,Cotton Club,http://www.cottonclubjapan.co.jp,"TOKIA 2F, TOKYO Bldg, 2-7-3 Marunouchi, Chiyoda-ku",http://www.cottonclubjapan.co.jp/en/access/,Tokyo,"Tokyo, Yurakucho","￥8,000","￥8,000"
"Lucy's Crown (Australia), おいおい教バンド, クウネル・ダ・サイクル, 甲殻類",2014-07-08,Rock,Outbreak,http://www.hor-outbreak.com,"B1, 2-10 Yotsuya, Shinjuku-ku, Tokyo",http://www.hor-outbreak.com/access.html,Yotsuya,"Yotsuya, Yotsuya sanchome",1500,2000
"Joe Talia, HUH + Cal Lyall, Yasumune Morishige + Takashi Masubuchi+Ryutaro Endo, more",2014-07-08,Improvised,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,1000 yen,1000 yen
