title,date,category,venue,venue_url,address,access_url,area,closest_station,advance_price,door_price
"Yumiko Yoshimoto (guitar, daxophone), Fumito Sugo (drums), Tadayuki Furukawa (saxophones)",2019-04-11,"Avant garde,Experimental,Free Jazz,Improvised",Nanahari,http://www.ftftftf.com,"Oriental Bldg. B1, 2-7-1 Shinkawa, Chuo-ku",,Hatchobori,Hatchobori,,"2,000yen (bring-your-own drink)"
Enzo Favata Crossing Quartet,2019-04-11,"Electronic,Free Jazz,Instrumental,Jazz,Rock",Jirokichi,http://www.jirokichi.net,"Koenji Bldg B1, 2-3-4 Koenji-kita",http://jirokichi.net/access/,Koenji,Koenji,3500,4000
"Shizuka Sato Acoustic Trio, Maiko Morimoto, Iriee Bob",2019-04-11,"Acoustic,Pop",Koenji U-hA,http://coffeeuha.web.fc2.com/,"Ems Bldg. 4-4-12 Koenji-minami, Suginami-ku, Tokyo",http://coffeeuha.web.fc2.com/access.html,Koenji,Koenji,,2000 + drink (500)
"SALARYMAN SENG RIEW, MONE¥i$GOD, RAMEDY, ギニョルズ",2019-04-11,"Hardcore,Hard Rock,Indie-Rock,Punk",Showboat,http://showboat1993.wix.com/showboat1993,"Oak Hill Koenji B1F, 3-17-2 Koenji Kita",,Koenji,Koenji,2200,2500
Kasper Tranberg (trumpet),2019-04-11,"Improvised,Jazz",Apollo,http://ameblo.jp/430416apollo/,"B1 2-9-22 Kitazawa, Setagaya-ku",http://ameblo.jp/430416apollo/entry-12101940478.html,Shimokitazawa,Shimokitazawa,,"Tip for musicians ¥1,000~ + drink order, bar charge (¥800)"
Open Mic,2019-04-12,Open Mic,The King George,https://www.facebook.com/The-King-George-420759668101593/,"大宮区仲町２丁目５１番地, Saitama-shi, Saitama",https://gmap.jp/shop-6354.html,Omiya,Omiya,,Free
Elegant Hearts Jam Session,2019-04-12,"Funk,Jam,Open Mic,R n B,Soul","Love, Peace and Soul Live Cafe",http://www.lovepeaceandsoul.net,"Parfum Kyodo B1-C 1-5-6 Kyodo, Setagaya-ku, Tokyo",,Kyodo,Kyodo Station (Odakyu Line),,"¥1,500 + 1 Drink Minimum"
"Tsunekichi Suzuki, Akinobu Imai, Hisato Yamamoto, Minoru Sato, Shojimaru Sugiyama, Tetsuji Yoshida",2019-04-12,"Folk,Blues,R n B,Rock,Acoustic",The Shojimaru,https://fukumarurec.wixsite.com/shojimaru,Yoshikawa Bldg. B1 1-4-6 Kandasudacho,,Kanda,"Ogawacho, Kanda",2800yen,3000yen
Suishou No Fune (水晶の舟),2019-04-12,Psychedelic,Silver Elephant,http://www.silver-elephant.com,"2-10-6 B1, Kichijoji Honmachi",http://www.silver-elephant.com/data.html,Kichijoji,Kichijoji,2600yen,3000yen
"JUNJI HIROSE, YOSHINORI MOTOKI",2019-04-12,"Avant garde,Experimental,Improvised,Industrial,Noise",Pool,http://mdel.co.jp/pool/,"Silver building B2F, Sakuradai 1-7-7, Nerima-ku",http://mdel.co.jp/pool/map.html,Sakuradai,Sakuradai,2000 JPY (plus 1 Beverage Order),2000 JPY (plus 1 Beverage Order)
"246 (Nichiyo Yofukashi Club), Sankaiten To Hitohineri, Mizuno Neji, Kingyo",2019-04-12,"Acoustic,Alternative,Indie,Indie-Pop,Indie-Rock",Karl Mohl,http://karlmohl.net/,"Shinjuku 1-34-13, Shinjuku-ku",http://karlmohl.net/access/,Shinjuku,Shinjuku-Gyoenmae,"¥2,500","¥3,000"
"Saki Imanami, Mike Marubasi, Ayame Tomono",2019-04-12,"Acoustic,Indie,Indie-Pop,Pop",Koenji U-hA,http://coffeeuha.web.fc2.com/,"Ems Bldg. 4-4-12 Koenji-minami, Suginami-ku, Tokyo",http://coffeeuha.web.fc2.com/access.html,Koenji,Koenji,,2000＋drink（500）
"WAVEFORMS 17: Gotal Bournier (Lo-shi), DJs craig eee, Ralouf, Judy, Grant McGaheran, kohey",2019-04-12,"All Mix,DJ,Experimental,Indie,Party",Blue Monday,https://www.facebook.com/bluemonday909,"2-19-10 Kitazawa, Setagayaku, Tokyo-to",,Shimokitazawa,Shimokitazawa,,"¥1,000 (w 1d)"
RED BULL MUSIC FESTIVAL TOKYO X FANCYHIM SHIBUYA TAKEOVER,2019-04-12,"Electro,House,Party,Techno",Contact,http://www.contacttokyo.com/,"B2F 2-10-12 DOGENZAKA, SHIBUYA-KU",http://www.contacttokyo.com/access/,Shibuya,Shibuya,2500,3500
"SASKIATOKYO, NUJI, CHRIS FITZ, BEESTING, TSUMUTSUMU, SYSTEMSHOCK",2019-04-12,Mixed Genre,Ruby Room,http://www.rubyroomtokyo.com,"2F Kasumi Bldg, Dogenzaka 2-25-17, Shibuya",,Shibuya,Shibuya,,¥1600 with 1 drink ticket
"DESECRAVITY, APOLOGIST, CRY, DOORMAT, GxSxD, INVICTUS, MANIPULATED SLAVES, Necrotic chaos, more ",2019-04-13,"Death Metal,Metal",Wild Side Tokyo,http://ws-tokyo.com/,"B1, 1-34-13 Shinjuku, Shinjuku-ku, Tokyo",,Shinjuku,"Shinjuku Gyoenmae, Shinjuku",3000yen,3500yen
"Swinky, Viorica Lozov, Blacky Kuroda, Mark Tourian, Jim Butler, Gustavo Anacleto, more @ C-Laps ",2019-04-13,Jazz,,,,,,,"¥5,000 + drink","¥5,000 + drink"
"Summoned By Giants (US), Floaters, Lifeblood, Worship Pain, Crash Syndrom, Bafomet, Mortify, Harappa",2019-04-13,"Death Metal,Doom,Grindcore,Hard Rock,Metal",Moon Step,http://wall-moonstep.com/moon/top.html,"5-39-16 Chuo, Nakano-ku",,Nakano,"Shin-Nakano, Nakano","2,500 yen","3,000 yen"
The Primitives,2019-04-13,"Indie-Pop,Indie,Guitar Pop",Space Odd,http://www.spaceodd.jp/,"2-11 Sarugakucho, Shibuya-ku",http://www.spaceodd.jp/#4thpage,Shibuya,"Shibuya, Daikanyama",6900,
